순번;제목;저자명;출판사;isbn여부;ISBN;한줄소개
194;바다 한 가운데서;박경동;인디펍;Y;9791167564979;"순수한 존재가 새로운 세계를 마주해 나가며 자신의 내면을 성장해 나가는 이야기입니다.

어느 바닷가에 홀로 자리한 낡은 집 한 채. 그곳에서 한 소년은 하염없이 바다를 바라보며 새로운 세계에 대한 순수하지만 막연한 열망을 품는다. 집을 떠나 정처 없이 걷던 소년은 세 아이들을 만나게 되고 그들의 몽환적인 이야기에 빠져들게 된다."
195;디룡이 순정;디룡이 코믹스;-;N;-;"<디룡이 순정>은 디룡이코믹스의 2번째 시리즈로, ‘지렁이’를 주제로 한 1호에 이어 이번에는 ‘순정만화’라는 주제를 각자의 색깔로 풀어낸 잡지 컨셉의 앤솔로지입니다.

순정만화란 무엇일까요? 사실 잘 모르겠습니다. 로맨스를 다루거나 여성작가가 그리면 순정만화일까요? 읽으면서 가슴이 뛰었던 기억만이 남아있습니다. 그렇다면 내 가슴이 뛰면 순정만화가 아닐까? 라는 생각에 8인의 가슴이 뛰는 8가지의 만화가 탄생했습니다."
196;인생2학년;일렉츄럴;코튼캔디;Y;9791198548207;"말괄량이 초딩 2학년 딸 ‘인생이’와 ‘고양이 아빠’의 재미난 좌충우돌 에피소드들을 네컷만화로 풀어낸 인생이야기.
우리 모두의 마음 속 깊은 곳, 초딩 2학년 ‘인생이’ 같은 순수하고 천진난만한 어린 시절의 나를 찾아서… 우린 모두 ‘인생2학년’!!"
197;모처럼 소식;모;일회용 일상;Y;9791196619213;소식하는 만화가의 이야기
198;덕심;정은지 외;썬더코믹;Y;9791197260513;"독립만화에 진심인 작가들이 무언가에 몰입하고, 진심으로 대하는 우리 세대를 대변하는 만화를 그리기 위해 모였습니다.
본 만화책은 덕심은 곧은 마음가짐으로 사랑하는 것들에 진심인 삶의 형태입니다. 5명의 작가가 바라보는 각각의 덕심을 만화로 그려낸 앤솔로지 입니다."
199;하루또하루;꼬망;오즈 이미지웍스;Y;9791198411501;총 4 장으로 구성된 (4계절 – 봄, 여름, 가을, 겨울) 하루또하루는 365일의 계절마다 느끼는 일상을 담은 그림일기로 63개의 일상의 에피소드와 계절의 느낌을 담은 13개의 일러스트로 구성되어 있다.
200;고양이사전;칠렐레달커피;우다다;Y;9791198534705;"[고양이사전]은 고양이 함께 [식구]가 된 날부터 이별까지의 이야기를 담은 만화입니다.

[용산 개 방실이] [낭만 고양이, 인간 세상을 탐닉하다]를
같이 만든 칠렐레달커피의 세번째 이야기 입니다."
201;백빵기행;개띠랑;개띠랑;Y;9791198016904;"빵을 얼마나 좋아하시나요?

제가 ‘빵’이란 맛을 기억하는 건 7살 때입니다.
그 빵 맛을 잊지 못해 22년간 열심히 빵을 먹었습니다.
그렇게 계속 빵을 먹다 보니 동네에서만 빵을 먹기에는
세상은 넓고 빵은 너무 많았어요!

그래서 제가 살고 있는 동네뿐만 아니라
다른 지역으로 한 발짝씩 나아가 빵의 세계를 넓혀가고 싶었습니다.

그래서 시작된 100군데 빵이 있는 곳이라면 어디든 가는, 개띠랑의 빵 여행기!
백빵기행의 첫 번째 시리즈! 100군데 중 20군데를 먼저 기록해보았습니다.
앞으로 시리즈물로 나올 예정이니 많은 관심 부탁드려요!"
202;백빵기행2;개띠랑;개띠랑;Y;9791198016959;"""빵과 함께라면 어디든 갈 수 있어!""

실컷 빵 먹고 즐기며 마음도 빵빵해지는
개띠랑의 전국 빵 여행 두 번째 시리즈!

<백빵기행1>보다 더 넓어진 빵의 세계!
서울, 경기, 인천, 경상, 전라, 강원, 제주까지
동에 번쩍 서에 번쩍!
구석 구석 다니며 빵의 세상을 만났다.

내 멋대로 먹어보고 기록하는
백빵기행의 두 번째 이야기 출발합니다! 빵빵!"
203;풀링;남도현;인디펍;Y;9791167563927;초조와 모순이 청년이라고는 단 한 명도 살지 않는 시골에서 살게 되면서 벌어지는 좌충우돌 이야기!
204;나는;최덕현;인디펍;Y;9791167563569;"알고는 있지만 더 알고 싶지 않은 불편한 이야기...
일본군 ‘위안부’를 만화로 통해 알리고 싶어 이 작품을 기획하게 되었습니다.

국내 피해자 인원만 20만 명이지만 이 중 50년의 세월이 흘러 고백하신 분들은 240명에 불과합니다. 현재까지 위안부 작품들은 생존자 분들의 이야기에 집중이 되었지만 타국에서 “무주고혼”으로 돌아가신 분들과 전쟁이 끝난 후 고국으로 돌아와
진실을 밝힐 수 없었던 그분의 이야기에 포커스를 맞추고 싶었습니다.
이젠 들을 수 없는 그들의 이름과 대화를 작품 속 비어있는 말 칸으로 상징하여 작품화 한 작품 입니다."
205;회사 여행;박기연;북케이크;Y;9791197975424;"이직을 밥먹듯이 하면서 여러 회사를 다녔던 경험을 토대로 만든 자전적 카툰 에세이로
여성들이 많은 회사에서 불편한 감정들을 담은 '큐어링스', 직원을 수시로 감시하고 통제하는 '감시물산',
컨테이너로 되어있어서 업무환경이 너무나 열악했던 '네모상사', 사장님과 모든 직원들이 혈연관계였던 '에이탑 패밀리'라는
회사를 다니면서 겪었던 소외감과 불편한 감정들을 그림으로 풀어내었다."
206;어쩌다 우리가 만나서 어쩌다 이런 사랑을 하고;김현경;웜그래이앤블루;Y;9791191514285;"“당신이 애인의 바람 상대였다는 걸 알면 어떡할 건가요?”
자기도 몰랐던 밀회의 당사자가 되었다는 사실로부터, 이해할 수 없는 것으로 인해 자신이 이상하다고 느껴져 참을 수 없게된 어느날, 그와의 관계를 기록하기 시작했습니다. 그럼에도 불구하고 관계에서 빠져나올 수 없었던 시간을 지나, 그 이유와 정면으로 마주하기 위해 그를 다시 한 번 찾아갑니다."
207;아이고, 오늘도 입을 옷이 없네!;김현경;웜그래이앤블루;Y;9791191514261;"버릴 수 없는 옷으로부터
시작한 이야기, 감성의 물성.

매일 아침, 옷이 가득 찬 옷장을 바라보며 '입을 옷이 없네' 생각합니다. 전에는 잘만 입고 다니던 옷이 왜 입을 수 없는 옷처럼 느껴지는지 모르겠습니다.

우리는 알 수 없는 옷장의 신비를 이야기 하기로 했습니다. 그 안에 한가득 쌓인 추억에 대해, 더이상 입지 않게 되었지만 결코 버릴 수 없는 이유에 대해서요. 얼룩처럼 옷에 진득하게 묻어버린 이야기를 옷장에서 꺼내보려고 합니다."
208;혼자 남은 마음에게;김현경, 송재은;웜그래이앤블루;Y;9791191514247;"“이별과 함께 했던 책과 음악 그리고 영화”
이별은 최선을 다해도 피할 수 없는 것. 관계의 끝도, 죽음도, 처음부터 약속된 기한 종료도 흘러가는 시간처럼 예정된 것. 하지만 부서져 흩어진 조각들도 반짝이며 저마다의 빛을 낸다는 사실을 알고 있나요. 그 빛을 하나씩 주워 각각의 유리병에 담아 바라봅니다. 삶의 모든 부서짐과 곤란은 예정된 수순 같습니다. 당연히 아플 것이라는 사실은 오히려 위안이기도 합니다. 그 순간을 함께 한 영화와 음악, 책 이야기를 나누고 싶어요. 그 위안이 나를 돌아 타인을 안아줄 수 있기를 바라면서."
209;어느 날 네가 말했다, 나는 좀 다르다고;김현경, 송재은;웜그래이앤블루;Y;9791191514179;"커밍아웃 이야기를 모았습니다.

퀴어 당사자가 겪은 커밍아웃 경험, 비당사자가 커밍아웃을 한 친구나 가족을 이해하고자 했던 경험을 전합니다.

레즈비언, 게이, 바이섹슈얼, 트렌스젠더, 무성애까지. 다양한 성 지향을 가진 분들과 그 주변인들이 함께 썼습니다. 각자의 지향에 따라, 또 상황과 성격에 따라 모두가 다른 커밍아웃을 이야기 합니다."
210;코쿤카! - 당신의 치앙마이는 어땠나요?;김현경;웜그래이앤블루;Y;9791196235864;"“당신의 치앙마이는 어디인가요?”
두 번의 겨울의 치앙마이에서 만난 사람들과 나눈 이야기,
그 기록을 손으로 그려 남겼습니다."
211;오늘 밤만 나랑 있자;김현경;웜그래이앤블루;Y;9791191514018;친구가 세상을 떠났습니다.그 후로 혼자인 방이 두려워, 제가 사라져버릴까 두려워, 이곳저곳에서 밤을 지새웠습니다. 밤낮을 술에 취해 길거리를 헤매기도, 갑작스레 친구 집에 찾아가기도, 친구들을 집으로 부르기도 했습니다. 불안과 우울, 두려움에 사람들을 찾았습니다.제가 겪은 두려움과 그 까닭, 정처없이 표류하던 밤과 두려운 아침을 견딜 수 있게 해준 사람들, 제 자신이 누군가를 안아줄 수 있는 사람이 되기를 바라며 기록한 몇 달간의 이야기입니다.
212;오롯이 혼자;김현경;웜그래이앤블루;Y;9791191514025;“함께여도 외로운 어느 밤, 묵묵한 위로가 가 닿아 당신 곁을 지킬 수 있다면 좋겠습니다.”<오롯이, 혼자>는 글쓰기 어플리케이션 ‘씀’에서 #6C7A89라는 필명으로 활동하는 김현경이 짧고 길게 쓰고 모은 글을 묶은 책입니다.웜그레이앤블루에서 글을 다듬고 표지를 새로 입혔습니다. 또한, 몇몇 글이 추가되었습니다.이 책에는 김현경이 쓴 <폐쇄 병동으로의 휴가>, <여름밤, 비 냄새>의 원형이 된 글들이 담겼습니다. 이전 책들을 눈여겨 보신 분들은 더욱 흥미롭게 읽으실 수 있습니다.
213;F/25: 폐쇄 병동으로의 휴가;김현경;웜그래이앤블루;Y;9791196235819;만 스물 다섯, 폐쇄 병동에 다녀온 기록을 옮겼습니다.
214;가루인간의 백수 라이프는 계속 된다;가루인간;쉬는시간;Y;9791196515621;"전편 <번아웃 가루인간의 백수 라이프>에 이어 <가루인간의 백수 라이프는 계속 된다>.
퇴사 후, 힐링의 백수라이프를 보내다 코로나로 재취업에 난관을 맞이한 가루인간.
놀만큼 논 가루인간은 n잡에 도전하게 되는데…"
215;번아웃 가루인간의 백수라이프;가루인간;쉬는시간;Y;9791196515614;나를 갈아 넣으며 일하는 직장 일상, 오늘도 불태웠나요? 하얗게 불태웠다는 말, '번아웃 증후군' 이제는 유행처럼 익숙한 단어가 되었죠. 일과 삶의 균형, 좋아하는 것 찾기, 그리고 건강하고 현명하게 일하는 법에 대한 고민을 나눕니다.
216;세월 속에 슈퍼맨;죽정;죽정출판사;Y;9791198066107;아버지의 인생은 무엇일까? 가족을 위해 평생을 희생하신 저의 아버지는 병을 얻어 장애인이 되었음에도 자식을 걱정하시는 분이셨다. 그런 아버지에게 바치기 위해 이 만화책을 제작하게 되었다. 아버지가 돌아가신 후에도 저자는 아버지의 죽음을 받아들이기 힘들었다. 매일 아버지가 살아서 돌아오신 꿈을 꾸었다. 그래서 어머니와 이야기하며 아버지의 삶을 그려나가기 시작했다.
217;계속 살아있길 바라;느하;독서관;Y;9791197639463;"""곰탱이는 우울한 토순이가 살아있길 바랍니다""
토순이가 살아있길 바라는 곰탱이의 이유,
토순이가 살아있고 싶어지기까지의 과정을 담은 에세이 만화입니다."
218;느린 혼자 여행;느하;퍼플;Y;9788924127850;"느린 혼자 여행에서 생각했다.
참, 별 거안해도 세상은 아름다운 거였지
혼자 여행이 무서운 쫄보 느하의 여행기"
219;나이의 맛;봉삼이;그래서;Y;9791197157738;"아줌마와 할머니 사이,
63년생 봉삼이의 하루하루 잘 늙어가기 위한 고군분투 성장기"
220;피휘;목해경;상상계;Y;9791198225290;"정면에서 호명하지 못하고, 언제나 우회하여 부르는
내 마음속 그림자에 관한 그래픽노블.

“그러니까, 곰을 두려워하는 마음에
곰의 ‘진짜 이름’을 부르지 못하고
그냥 ‘갈색 짐승’이라고
계속 불러왔다는 거죠.”"
221;슈텐도지;목해경;상상계;Y;9791198225214;인간으로 태어났으나 요괴가 되어버린 슈텐도지의 ‘기원’에 관한 그래픽노블.
222;철가면;목해경;이숲;Y;9791191131109;
223;겨울 꿈;목해경;이숲;Y;9791186921319;
224;칸사이;미바, 오은미, 우세계, 이선정, 안미래, 생생, 손다희, 이끼;우드파크 픽처북스;Y;9791198116710;"『칸사이』는 만화를 위해 모인 9인의 프로젝트입니다. 2022년 12월 처음 만나
만화책을 만들기 시작했습니다. 우리는 늘 칸과 칸 사이에서 만났습니다."
225; <지역의 사생활99> _전라남도 화순편;다드래기;삐약삐약북스;Y;9791191615210;"전남 화순군 화순읍 이십곡리상촌마을에는
500년 된 당산나무가 있다.

정월대보름 잿밥을 얻어먹으러 모여든
귀신들이 저마다의 깊은사연을이야기하기 시작한다."
226;<지역의 사생활99> _경기도 포천 편;정세원;삐약삐약북스;Y;9791191615203;"서울을 모방하지만, 절대 서울은 될 수 없는 곳.

“서울을 제외한 모든 곳은
‘무언가’가 붙습니다.

하지만 그마저도 붙지 못하는 곳은,
끊임없이 설명해야합니다.

설명은 항상 실패합니다.”

실패한 설명은 다 어디로 갔을까요?
끊임없이 ‘서울’을 쫓아,
사라지고 만 것은 다 어디로 갔을까요."
227;<지역의 사생활99> _조선 편;깊은굴쥐;삐약삐약북스;Y;9791191615159;조선 특별편_ 조선의 3가지 지역이야기  
228;<지역의 사생활99> _전라북도 전주 편;정세원;삐약삐약북스;Y;9791191615142;"우주내 관광쿼터제 때문에 어쩔수 없이
지구에 여행을 가게 된 외계인들은 대한민국 전주로 가게 된다.

전주로 가게 된 이유는 얼마전에 우주선으로
전주사람을 납치했기 때문이다.  "
229;<지역의 사생활99> _인천광역시 편;메;삐약삐약북스;Y;9791191615197;"공부도, 친구 관계도 그닥.
열일곱 살 무니와 자주가 고민을 나눈다.
학교를 그만둘까, 말까.

인천이 과거 개항으로
격변의 시기를 맞이 했듯

두 친구도 미지의 영역으로
한 발을 내딛기로 한다."
230;<지역의 사생활99> _경상북도 칠곡군 왜관편;권용득;삐약삐약북스;Y;9791191615227;"왜관은 만화가 권아람이 자란 동네다.
왜관은 대대로 이방인의 도시였고
권아람의 부모 세대도 고향이 저마다 다르다.

권아람은 그런 왜관과
이도 저도 아닌 상태의 자신이
서로 통한다고 생각한다.

그러면서 동시에 왜관에서 수십 년째 대대로
가업을 이어가고 있는 화교 출신 가족의 만두 가게를 떠올린다."
231;<지역의 사생활99> _강원도 속초편;최지수;삐약삐약북스;Y;9791191615180;"땅을 접어달리는 사람들,
하늘을 가르는 탈것.

도술과 신비가 과학이라는 이름으로 대체된 2199년 속초.

그곳에는 누구보다 이 시대에
잘 녹아든 도사가 한명 살고있다. "
232;<지역의 사생활99> _전라남도 보성 편;오묘;삐약삐약북스;Y;9791191615166;"오래전 알았던 언니가 죽고
그의 딸이 다래를 찾아온다.

둘은 함께 보성을 여행하며
언니, 또 엄마와의 추억을 되짚는다."
233;<지역의 사생활99> _경상남도 남해 편;센개;삐약삐약북스;Y;9791191615173;"미래보다는 오늘 점심 메뉴가 더 궁금한 구자민은 장난스레 소원을 적는다.
불현듯 소원을 바꿔야겠다고 마음 먹었지만
타임캡슐은 이미 사라지고 없었다.

성공적인 미래를 위해
자민은 반드시 범인을 잡겠다고 다짐한다."
234;<지역의 사생활99> _경상남도 김해 편;101진수;삐약삐약북스;Y;9791191615135;"버스를 기다리던 객은 혼자 돌아다니는 로봇 청소기와 마주친다.
원하는 대로 시내 정류장에 내려주고 말 생각이었지만,

이 동그란 친구가 퍽 흥미로워 보여
동네 마실에 동참해보기로 한다."
235;<지역의 사생활99>_정읍편_샘골이야기;선우훈;삐약삐약북스;Y;9791191615067 ;"""이승만이 하필 정읍에서 한 말 때문에 할아버지는 고향을 잃었고,
나는 그 여파로 어찌저찌 정읍이 고향이 된 셈이다.
가끔 돌아가신 할아버지를 떠오를 때마다 나는 생각한다.
고향이란 무엇일까? 내가 태어난 곳? ""

서울에서 태어난 작가 선우훈이 전라북도 정읍을
두번째 고향으로 가지게 되면서 알게 된 정읍의 놀라운 세가지 이야기. "
236;<지역의 사생활99>_울산편_폰 콜;쩡찌;삐약삐약북스;Y;9791191615036 ;"울산에 사는 중학생 지고은은 거의 매일 특별한 <통화>를 한다.
받는 사람 없이, 고은 혼자 이야기하는 '가짜'통화이다.
고은은 가상의 수신자에게 시시콜콜한 이야기를 하기도 하고,
가짜 통화를 하면서 위기 상황을 모면하기도 한다.
갑갑하고 지겨운 일상에서의 일탈을 꿈꾸는울산 중학생 지고은의 성장기."
237; <지역의 사생활99>_옥천편_정순전;하양지;삐약삐약북스;Y;9791191615043 ;"옥천 양반집 딸이자 혼기를 놓친 정순은
바느질과 수놓기보다는 그저 전국을 유랑하며 떠돌고 싶을 뿐이다.
빈둥거리는 것이 일상인 정순은 소금강에서 홀로 휴식을 취하다 낮잠을 잔다.
잠에서 깼을 때 정순은 현대세계로 시간이동을 하게 된다.
소금강은 부소담악이라는 관광지로 변모해있었고
사방은 강물이다."
238;<지역의 사생활99>_양산편__키르케고르와 법구경;약국;삐약삐약북스;Y;9791191615029 ;"재개발이 한창인 양산 통도사 주변의 음식점.
9급 공무원 경민은 후배 같기도 하고 원수 같기도 한 은수를 오랜만에 만난다.
경민은 재개발을 해야 하는 공무원으로.
은수는 보상문제로 폐업의 기로에 서 있는 음식점 주인으로."
239;<지역의 사생활99>_동해편_도자기 마법일주;최준혁;삐약삐약북스;Y;9791191615104 ;"그래서 도망친 주인공을 따라 동해로 갑니다. 바다에 산산조각 난 도자기를 던져 버리려고,
 그렇게 책임과 죄책감도 던져버릴 수 있을 거라고 생각한 주인공은 일단 동해로 달려갑니다.
바다에도 던지지 못하고, 동굴에도 버리지 못한 건 도자기의 파편들일까요,
아니면 죄책감과 책임감일까요?"
240;<지역의 사생활99>_대전편_대전블루스;이요;삐약삐약북스;Y;9791191615050 ;"어릴 적부터 나만의 가족을 갖고싶어했다'
독립하여 살게 된지 어느덧 3년.
희영은 자신의 외로움을 파고드는 꿈 속의 가상인물과 티격태격한 나날을 보낸다.
그러던 중 우연히 중학교 시절 동창 유준을 만나게 되고,
희영과 유준은 대전에서 시간을 보내며 이전의 추억을 마주보게 된다."
241;<지역의 사생활99>_구미편_땅콩밭의 파수꾼;코익;삐약삐약북스;Y;9791191615081 ;"뭘해도 운이 따르지않는 불행한 인생을 사는 권도일은
실연과 동시에 부당해고를 당하고 고향인 구미로 도망친다.
돌아오기 싫었던 구미의 어머니집. 그 곳에서 조카 도하를 만나게 되고
조카와 함께 구미 이곳저곳을 돌아다니며
구미로 돌아오기 싫었던 이유들을 하나씩 풀어나간다. "
242;<지역의 사생활99>_경주편_사진의 기분;이수희;삐약삐약북스;Y;9791191615098 ;"흐릿한 경주의 기억을 더듬 거리며 미처 정리하지 못한 사진 앨범을 열어본다.
보고 싶은 외가댁 할아버지, 할머니를 떠올리며  어릴 적 추억을 토대로 그려나간 픽션 만화."
243;<지역의 사생활99>_강릉편_심야행;황미몽;삐약삐약북스;Y;9791191615074 ;"등단못한 SF소설가이자 비관론자인 주인공은
아르바이트를 하는 피자집에서 또 실수를 저지르고사장에게 잔소리를 듣는다.
가라앉은 기분을 환기해보려 머리속에 행복회로를돌리던 주인공은
낙관론자 친구가 뜬금없이차를 끌고 와 '강릉'으로 가자고 한다.
난처하다."
244;<지역의 사생활99>_충청북도 충주_여름방학의 끝에서;고형주;삐약삐약북스;Y;9791196841164 ;"서울 토박이인 경원은 충주에 사는 지현으로부터 ""우리는 절친""이라는 말을 듣고 나자
약간의 거리감을 느낀다. 조금 더 충주에 머물러 달라며 애원하는 지현의 곁에
더 있어 주고 싶지만 그건 동정일까, 우정일까?"
245;<지역의 사생활99>_부산광역시편_비와 유영;산호;삐약삐약북스;Y;9791196841126 ;"“나 인어랑 약속 잡았어?”
부산광역시 광안리 바다에서 마주친 인어와 인간의 이야기!
어느날 유영은 아버지를 피해 새벽 늦게까지 광안리 해변에서 서성이게 되고,
우연히 해안 근처 테트라포드에서 마트 종이백에 목이 감겨 죽어가는 인어 '비'를 마주친다."
246;<지역의 사생활99>_대구광역시_달구벌 방랑;근하;삐약삐약북스;Y;9791196841133 ;"가난한 밀레니얼 세대, 제이와 이현은 막연한 목표 없이 대구로 이사를 한다.
제이는 20대를 한 몸처럼 보내온 이현에 대한 애정을 여전히 가지고 있었지만 대구를 떠나
삶을 새로 시작하고 싶은 마음이 서서히 들끓어간다."
247;<지역의 사생활99>_전남 담양_1-41;래현;삐약삐약북스;Y;9791196841157 ;"인기도 많고 야무진 키 번호 1번 오송연. 조용하고 칠칠치 못한 키 번호 41번 정유진.
어쩐지 다른 두 사람은 둘도 없는 친구 사이지만 전학으로 헤어지게 된다.
10년 후, 담양으로 출장을 간 유진은 그곳에서 송연을 우연히 만난다."
248;<지역의 사생활99>_충북 단양편_가만히 있어도 사라지지 않는것;불키드;삐약삐약북스;Y;9791196841188 ;"졸업을 앞둔 대학교 4학년 김도이는 회의를 느끼고 휴학을 한 뒤 고향 단양으로 내려온다.
오랜만에 돌아온 단양은 많이 변했다. 도이는 변하는 게 무섭다.
가만히 있는데도 뭔가를 계속 잃어버리고 있는 기분이다."
249;<지역의 사생활99>_전라북도 군산편_해망굴도깨비;불친;삐약삐약북스;Y;9791191615005 ;"해망굴에서 울고 있던 주인공에게 다가온 어린아이,
산발에 더러운 옷을 보아 아무래도 실종아동인 것 같은데 어떡하면 좋지?
아이를 데리고 군산의 원도심을 배회하며 고민하게 되는데.."
250;<지역의 사생활99>_광주편_용도락_광주식도락투어;작은비버;삐약삐약북스;Y;9791167841195 ;"용이 배송업을 맡아 사람과 섞여 살 게 된 지 15년 후,
편안한 휴학생 생활을 즐기고 있던 민서는
계신 줄도 몰랐던 고조할머니로부터 택배 수습 기간이 끝난
용의 휴가를 함께 해달라는 부탁을 받게 되는데.."
251;<지역의 사생활99>_충청남도 공주편_4공주;북구플랜빵;삐약삐약북스;Y;9791196841140 ;"어느날 엄마의 일기장을 우연히 보게 된 거니는 엄마에게도
학창시절이 있었음을 알게 되면서 자신의 미래도 궁금해한다.
시험이 끝난 날 공주 백제문화제를 즐기기 위해 모인 4명의 중학생 친구들이
부모님 없이 친구의 집에 모여 하룻밤을 보내며 성인이 되어 독립한 자신들이
어떻게 살고 있을 것인지 대화를 나눈다."
252;<지역의 사생활99>_강원도 고성 편_알프스 스키장;정원;삐약삐약북스;Y;9791196841171 ;"2016년 알프스 스키장에서 연인과 헤어진 후, 연인의 소식을 궁금해하며 지낸 민재는
2019년 알프스 스키장이 폐쇄되었다는 신문 기사를 읽게 된다.
알프스 스키장에 버려진 듯 보이는 개를 구조하기 위해 민재는 헤어진 연인에게 오랜만에 전화한다."
253;신림선 여행기;김명진(라잇19);라잇19;Y;9791198119810;"""서울특별시 관악구 신림동.
청년 가구 비중 전국 1위인 곳.
거주자의 40%가 2030세대인 곳.
대한민국 국토 면적 100,339㎢ 그 중 19㎡ 면적의 공간. 그 공간이 바로 나의 방이었다.""

관악구에 살고 있는 20대 청년 A는 신림선을 타고 여행을 시작한다."
254;큐빌리언;정태훈, 형연희;외계출판;Y;9791198083746;1995년 대한민국의 한 초등학교에서 일어난 기묘한 이야기
255;그러게, 굳이 왜;강지명;에구북스;Y;9791198000101;작년 1여년의 시간동안 처음으로 온라인 매거진 콘텐츠를 만드는 사업을 시작하고 그만두기까지 경험했던 다양한 감정들에 대해서 글과 그림으로 이야기하였습니다.
256;나만 그랬던 게 아냐;강지명;북스토리;Y;9791155642207;
257;꿈의 유실물;박인주;인디펍;Y;9791167561428;"하나의 문이 열릴 때마다

때로는 기시감이,

때로는 서글픔이

때로는 그저 순한 사랑이 흩날립니다.

귀신들의 소망을 그린 만화 '꿈의 유실물'입니다."
258;어쩌다 보니 이렇게 됐습니다;데니스;인디펍;Y;9791167561275;어느 날 학창 시절 친구들이랑 잡담을 하는데 당시에 있었던 소소한 에피소드들이 모르는 사람들에게도 말해주고 싶을 만큼 너무 재밌었습니다. 그렇게 나의 인생에서 무엇을 남길 것인가? 라는 질문에 대해 저는 제 삶 속의 소소한 이야기들을 남겨보기로 했습니다. 그리고 읽는 사람들도 편하게 부담 없이 볼 수 있도록 만화로 그리기로 했습니다. 그렇게 탄생한 제 첫 번째 만화책입니다.
259;쨍의 서사;JJJAENG;도서출판 쨍;Y;9791197608803;"""그 쇼핑몰 노동자는 어쩌다 그림 그리는 사람이 되기로 결심했는가? ""
라는 질문으로 묶이는 <쨍의 서사>는
쇼핑몰 노동자가 일이 지겨워서 sns에 일상 만화를 그린 <쇼핑몰>편.
퇴사 이후 자신에 대한 고민이 담긴 <나와 그림과 서사>.
그리고 <그 이후의 이야기>세 가지 부분으로 이루어져 있습니다."
260;집밥;김재현, 천관희;김봄비밴드;Y;9791197044946;"<집밥> 형제가 찾은 살아가는 방법.

""전에도 밥해야 한다고 서둘러 갔지?
학교 다니면서 어린 동생 챙기느라 힘들겠네.""

""어린 동생? 나 쌍둥이인데. 내가 쌍둥이 형이라.""

""응? 그럼 뭐하러 그렇게......""

재현은 왜 '집밥'에 집착하게 되었을까?
작가의 실화를 바탕으로 한 이야기."
261;도대체 여고생이 뭘 했다고;버팔로88;두인;Y;9791197373336;30대 여성들이 여고생에 대한 불편한 시선에 발끈해 우리의 경험을 직접 그린 라떼만화책.
262;작곡가입니다만;백조;낭만증폭기;Y;9791196761103;“작곡가입니다만…멋지지도 않고 유명하지도 않습니다.”소심한 작곡가의 유쾌한 일상 기록!“히트곡 있어요?”“저작권료는 얼마나 받아요?”“가수들 자주 만나요?”가늘고 긴 삶도 괜찮아!멋져 보이지만 전혀 멋지지 않은9년 차 작곡가의 자전적 만화 에세이!
263;갈증이 나서 냉장고를 열었습니다;유형길;문장의힘;Y;9791197767012;물 한잔을 마시기 위해 무엇을 좇고 있습니까?나는 목이 마를 적에만 갈증을 느끼지 않습니다. 무언가를 간절히 원했는데도 불구하고 채워지지 않음을 느낄 때, 만들어지는 커다란 물음표가 있습니다. 이러한 물음표는 내 삶에 곧장 지워지지 않고 물음이자 곧 답이 됩니다. 나의 질문에 내가 완성도 있는 답을 해주기보단 물음표를 여러 개 만들 수 있을 때, 비로소 답이 되고자 물음들이 뭉쳐 있는 자체만으로 해소되는 것이 갈증입니다. 즉, 나는 갈증을 못 견디겠으면서도 갈증 없이는 하루도 살 수 없습니다. 작가는 갈증이란 조급하게 날리는 연이라고 정의합니다.
264;송이송이 따다 드리리;김종완, 김현, 송재은, 이종산;시절;Y;9791198438362;"봄을 담아 쓴 소설 네 편을 한데 모아 『송이송이 따다 드리리』

따뜻한 계절, 봄의 설렘과 기대를 담은 소설을 기다리고 있다면, 지금 바로 여깁니다. 겨울잠에서 깨어나 생동하기 시작하는 에너지로 가득한 봄, 부드러운 햇살 아래 자연의 풍경을 생생하게 묘사하는 문장을 따라 나아가다 보면 소설 속 인물과 마치 아는 사이가 된 것 같은 기분이 듭니다. 이야기를 꾸린 작가들의 에세이를 곁들여 그들과 함께하는 봄나들이의 산뜻함을 느낄 수도 있을 테죠."
265;작가가 되는 기분;박지유;시의옷;Y;9791198436313;자신과 세계를 바라보는 시선이 담긴 어린이가 쓰고 그린 동시집이다. 주변에서 쉽게 볼 수 있는 사물을 대상으로 작가만의 발견을 담아 쓴 시 15편과 여러 생각과 고민, 질문이 담긴 짧은 글 10편으로 이루어져 있다. 그 외 시인이자 편집자이며 이 책의 발행인인 저자의 엄마와 함께 단어 조각으로 지은 시와, 저자의 말을 받아 적은 시 2편, 작은 손그림이 수록되어 있다.
266;얼룰덜룩 마음 옆 작은 귀;방지민, 김정애;시의옷;Y;9791198436303;"『얼룩덜룩 마음 옆 작은 귀』는 지역에서, 제도권 안팎에서 글을 쓰며 돌봄, 가사 노동을 병행하는 두 여성이 주고받은 편지를 모아 만든 책입니다.
저자 방지민과 김정애는 대구라는 지역에서 독립출판을 통해 지면을 스스로 만들어온 창작자이며, 쓰는 정체성을 지닌 채 엄마라는 정체성을 마주한 사람입니다.
등단이라는 제도를 통과하거나 권위있다고 여겨지는 수상을 한 것은 아니지만 자신만의 목소리를 꾸준히 내며 그동안 들리지 않았던, 당연하게 여겨졌던 '엄마'의 정체성과 한 개인을 둘러싼 다양한 이야기들이 다정한 관계에 기대어 서술됩니다."
267;사라진 모든 것들에게;맹비오;지워크;Y;9791198631510;추억을 선물해 주고 사라진 모든 것들에게 고마움을 전합니다.
